Original,Paraphrase
(인서트)총소리에 일제히 은행 쪽을 돌아다보는 이승우와 사람들.,이승우와 사람들이 총소리가 난 은행 쪽을 돌아다본다.
"고개를 끄덕이며 손으로만 오케이 사인을 건네 오는 협상남.    김성미, 건성으로 상황을 담아내고 있는 카메라맨에게 다가간다. ","협상남이 손으로 오케이 사인을 보내고, 김성미는 카메라맨에게 다가간다."
"점장, 송경태의 위협에 꾸물꾸물 움직이고 그 뒤로 김대리가 따른다.  도만, 수첩에 적힌 매뉴얼의 절차들을 하나씩 지워가며 체크한다.",점장은 송경태의 위협에 움직이고 김대리가 뒤따른다. 도만은 수첩에 적힌 절차들을 지워가며 체크한다.
"필름회사 로고가 박힌 다이어리를 손에 든 경희, 조심스럽게 다이어리를 열면... 마치 경찰 검식반의 증거자료 비닐 같은 느낌의 봉투 하나.여러 종류의 사진들이 들어있다. 밝고 환하게 웃는 경희의 일상, 남자 부분 누드들... 마치 번갈아 찍은 듯 섞여있는 사진들. ","필름회사 로고가 박힌 다이어리를 손에 든 경희. 조심스럽게 다이어리를 열면 경찰 검식반의 증거 자료 비닐 같은 느낌의 봉투 하나. 여러 종류의 사진들이 들어 있다. 밝고 환하게 웃는 경희의 일상, 남자 부분 누드들. 번갈아 찍은 듯 섞여 있는 사진들."
"노래가 한곡 끝난 듯... 관객들 박수소리에 인사하는 가희.여성 쿼텟과 스트링 오케스트라가 무대를 채운 꽤 규모 있는 째즈바.가희의 신호에 따라 새 곡이 시작된다.The Corrs 의 <Only when I sleep>무대 한 가운데 환한 조명을 받으며 노래부르는 가희, ",노래가 끝나고 관객들의 박수소리에 인사하는 가희. 여성 쿼텟과 스트링 오케스트라가 무대를 채운 꽤 규모 있는 재즈바. 가희의 신호에 따라 새 곡이 시작된다. The Corrs의 <Only when I sleep>. 무대 한 가운데 환한 조명을 받으며 노래 부르는 가희.
"흐느끼는 듯(?) 한동안 피아노 위에 얼굴을 묻고 있던 가희.다시 고개를 들곤 피아노 위에 놓여있던 봉투를 집어든다. 봉투안에 들어있는 초대권 한장.　봄의 소리, 여러분을 고전의 세계로 초대하며...　","가희가 한동안 피아노 위에 얼굴을 묻고 있다가 고개를 들고 피아노 위에 놓여있던 봉투를 집어든다. 봉투 안에는 초대권 한 장이 있다. '봄의 소리, 여러분을 고전의 세계로 초대합니다.'"
"조형사, 구내식당 입구에서 기훈을 손짓하며 부른다.기훈, 녹음기와 사진봉투를 챙겨 나가려다 바닥에 떨어져있는 손수건을 발견한다.경희가 내내 꼬옥 움켜쥐고 있던 그 꽃무늬 손수건.기훈, 창밖을 내려다보면,아래로 경찰서 문을 나서는 경희의 뒷모습이 보인다.",조형사가 구내식당 입구에서 기훈을 손짓하며 부른다. 기훈은 녹음기와 사진봉투를 챙겨 나가려다 바닥에 떨어져있는 손수건을 발견한다. 그 손수건은 경희가 내내 꽉 움켜쥐고 있던 꽃무늬 손수건이다. 기훈이 창밖을 내려다보면 경찰서 문을 나서는 경희의 뒷모습이 보인다.
"기훈, 9시방향으로 고개 돌려보면 좀 떨어진 테이블 너머 핸드폰을 든 가희가 보인다.",기훈이 9시 방향으로 고개를 돌려보면 조금 떨어진 테이블 너머 핸드폰을 든 가희가 보인다.
인써트 - 명식의 대사와는 달리...-상기되는 경희의 얼굴.-경희와 명식의 정사의 느낌!!!... 등이 명식 대사와 병진행된다.,명식의 대사와는 달리 경희의 얼굴이 상기된다. 경희와 명식의 정사의 느낌이 명식의 대사와 병행된다.
"주인이 자리를 비운 사이, 그를 힐끗 보던 경희의 얼굴이 긴장된다. 천천히 검은 지갑을 내려 놓으며, 밑에 있던 빨간 지갑을 주머니에 집어 넣는다. 그리고는 아무렇지도 않은 듯 뒤적뒤적 다른 지갑들을 만져보는 경희, 지갑들을 다 놓아두고 주인에게 가벼운 눈인사를 한 후 뒤돌아서 걸어가기 시작한다. 경희의 얼굴에 감도는 흥분. 주인, 진열대 위에 나와있는 지갑들을 정리해 넣다가 인상을 구기며 경희를 부른다. ","주인이 자리를 비운 사이, 경희가 그를 힐끗 보며 얼굴이 긴장된다. 천천히 검은 지갑을 내려놓으며, 밑에 있던 빨간 지갑을 주머니에 집어 넣는다. 그리고는 아무렇지도 않은 듯 다른 지갑들을 뒤적뒤적 만져보는 경희. 지갑들을 다 놓아두고 주인에게 가벼운 눈인사를 한 후 뒤돌아서 걸어가기 시작한다. 경희의 얼굴에 감도는 흥분. 주인이 진열대 위에 나와있는 지갑들을 정리해 넣다가 인상을 구기며 경희를 부른다."
"잰 걸음으로 걷던 경희, 자길 부르는 것임을 눈치 채고 힐끗 뒤돌아보더니 달리기 시작한다. 사람들 틈에 섞여 보일락말락하는 경희. 주인은 성난 얼굴로 뒤쫓으며. ",잰 걸음으로 걷던 경희가 자길 부르는 것임을 눈치채고 힐끗 뒤돌아보더니 달리기 시작한다. 사람들 틈에 섞여 보일락말락하는 경희. 주인은 성난 얼굴로 뒤쫓는다.
"기훈이 다시 되돌아보면... 경희가 없다. 이곳 저곳을 살피는데, 난간도 없는 구석쪽... 경희, 거센 바람에 몸이 흔들리며 위태롭게 서있다.기훈이 다가서자 한 걸음 더 발을 내딛는 경희, 고층 빌딩아래로 금방이라도 떨어질 것 같은... 아찔하다. ","기훈이 다시 되돌아보면 경희가 없다. 이곳 저곳을 살피는데, 난간도 없는 구석쪽에서 경희가 거센 바람에 몸이 흔들리며 위태롭게 서 있다. 기훈이 다가서자 경희가 한 걸음 더 발을 내딛는다. 고층 빌딩 아래로 금방이라도 떨어질 것 같은 아찔한 모습이다."
"눈물이 번진 경희의 얼굴 위로 미소가 핀다.바람에 날리는 머리칼,.. 지그시 눈을 감고 모든 것을 바람에 의지한다. 위태롭기만 그녀에게 조금씩 다가가는 기훈.",눈물이 번진 경희의 얼굴 위로 미소가 핀다. 바람에 날리는 머리칼 속에서 경희가 지그시 눈을 감고 모든 것을 바람에 의지한다. 위태로운 그녀에게 조금씩 다가가는 기훈.
insert - ‘얌마! 도완득!’하며 부르는 다양한 동작의 동주 몽타쥬 몇 컷.,동주가 '얌마! 도완득!'하며 부르는 다양한 동작의 몽타주가 삽입된다.
스스로 놀란 표정의 완득. 그런 완득을 학생들이 멍하게 쳐다본다.,완득이 스스로 놀란 표정을 짓는다. 학생들이 멍하게 쳐다본다.
완득의 앞자리로 가서 앉는 혁주.싸늘한 표정의 정윤하가 교실 뒤를 걸어간다. ,혁주가 완득의 앞자리로 가서 앉는다. 싸늘한 표정의 정윤하가 교실 뒤를 걸어간다.
자리를 피하는 학생.교실 문을 나서는 정윤하. 그 앞에 서있는 완득.,학생들이 자리를 피한다. 정윤하가 교실 문을 나선다. 그 앞에 완득이 서 있다.
의아한 표정을 한 채 옆으로 피하는 완득. 그의 눈에 정윤하의 교복 자켓 위로 볼록하게 쏟아있는 가슴께가 눈에 들어온다. 교실을 나서는 정윤하의 뒷모습을 잠시 쳐다보다가 혁주의 뒤에 앉는 완득. 혁주는 찢어진 만화를 보물지도 맞추듯 하고 있다. ,의아한 표정을 한 채 옆으로 피하는 완득. 완득의 눈에 정윤하의 교복 자켓 위로 볼록한 가슴이 들어온다. 정윤하의 뒷모습을 잠시 쳐다보던 완득이 혁주의 뒤에 앉는다. 혁주는 찢어진 만화를 맞추고 있다.
교회 안. 예배당. 나란히 앉아있는 완득과 정윤하.,교회 안 예배당. 완득과 정윤하가 나란히 앉아 있다.
정윤하가 완득을 한번 쳐다보더니 갑자기 눈에 눈물이 고인다.,정윤하가 완득을 한번 쳐다보더니 갑자기 눈에 눈물이 고인다.
완득의 눈에 교복 단추를 목까지 꽉 채운 정윤하의 가슴께가 눈에 들어온다. ,완득의 눈에 교복 단추를 목까지 꽉 채운 정윤하의 가슴께가 들어온다.
"천정의 무늬 사이로 윤하의 얼굴이 아른거린다. 앞 씬, 교회에서 봤던 윤하의 가슴이 보인다. 윤하는 뭔가 말을 하고 있지만 완득의 눈에는 오르락내리락하는 윤하의 가슴만이 확대되어 보인다. 정신을 차리려고 고개를 흔드는 완득. 하지만 이번에는 윤하의 조각난 그림이 나타난다. 잠시 후, 조각들이 움직이기 시작한다. 완성되는 윤하의 야한 단독 그림. 잠시 후, 아랫도리를 쳐다본다. 이내, 휴 하며 한 숨을 내쉬다가 꾸부정한 자세로 일어선다. ","천정의 무늬 사이로 윤하의 얼굴이 아른거린다. 교회에서 봤던 윤하의 가슴이 보인다. 윤하는 뭔가 말을 하고 있지만, 완득의 눈에는 윤하의 가슴만 확대되어 보인다. 완득이 정신을 차리려고 고개를 흔든다. 이번에는 윤하의 조각난 그림이 나타난다. 조각들이 움직이기 시작한다. 완성되는 윤하의 야한 단독 그림. 완득이 아랫도리를 쳐다본다. 한숨을 내쉬다가 꾸부정한 자세로 일어난다."
운동장 철봉 아래에 서있는 완득. 완득보다 상급생으로 보이는 초등학생 두 명이 연신 ‘난쟁이 새끼야’를 외치며 완득을 놀려댄다. 컷되면 엉켜 붙어서 싸움박질을 하는 학생들. 독기어린 완득에게 질려하는 두 명의 초등학생.,"완득이 운동장 철봉 아래에 서 있다. 상급생으로 보이는 초등학생 두 명이 ""난쟁이 새끼야""를 외치며 완득을 놀려댄다. 학생들이 엉켜 붙어서 싸운다."
"링 위에서 스파링을 하고 있는 완득과 관원. 보호구를 착용하고 있지만 관원의 손과 발에 이리저리 휘청거리는 완득. 연이어 들어오는 관원의 미들킥과 하이킥에 속수무책인 완득. 순간, 열 받은 완득이 미들킥으로 들어오는 관원의 발목을 잡아당기자, 관원이 뒤로 벌렁 넘어진다. 위로 올라타는 완득. 엎치락 뒤치락거리는 두 사람. 누가 보면 킥복싱이 아니라 그라운드 플레이로 오해할 정도다. ",완득이 링 위에서 관원과 스파링을 한다. 보호구를 착용하고 있지만 관원의 손과 발에 휘청거린다. 관원의 미들킥과 하이킥에 속수무책인 완득. 열 받은 완득이 관원의 발목을 잡아당기자 관원이 뒤로 넘어간다. 완득이 위로 올라타 엎치락뒤치락한다. 
서로 몸을 떼는 두 사람. 완득의 얼굴이 엉망이다.,두 사람이 서로 몸을 뗀다. 완득의 얼굴이 엉망이다.
절뚝거리며 힘겹게 링을 내려오는 완득. 그 사이 관장이 오른 손에 글러브를 낀다.,완득이 절뚝거리며 링을 내려온다. 그 사이 관장이 오른손에 글러브를 낀다.
관장이 왼손으로 완득의 뺨을 때린다. 휘청하는 완득.,관장이 왼손으로 완득의 뺨을 때린다. 완득이 휘청거린다.
가게 앞의 평상에 앉아있는 동주와 완득부가 막걸리를 먹고 있다. 술이 거나하게 오른 완득부.,동주와 완득부가 가게 앞 평상에 앉아 막걸리를 먹는다. 
"이때, 동주가 벌떡 일어나더니 인사를 한다. 완득부가 돌아보면 호정이 걸어오고 있다. 근데, 호정은 이미 술을 한 잔 했는지 붉은 얼굴에 걸음걸이가 산만하다.",동주가 벌떡 일어나 인사를 한다. 완득부가 돌아보면 호정이 걸어온다. 얼굴이 붉고 걸음걸이가 산만하다.
다시 고개를 끄덕이더니 가게로 들어가는 호정. 잔을 주고받는 동주와 완득부. 동주의 시선은 자꾸 가게 쪽을 기웃거린다. ,호정이 가게로 들어간다. 동주와 완득부가 잔을 주고받는다. 동주의 시선은 자꾸 가게 쪽을 기웃거린다.
산비탈을 깎아 연립과 단독이 어지럽게 들어찬 지역.가게에서 물건을 사오는 현성. 좁은 골목을 걸어 올라간다.,산비탈을 깎아 연립과 단독이 어지럽게 들어찬 지역. 현성이 가게에서 물건을 사와 좁은 골목을 걸어 올라간다.
"문을 열고 들어오는 유미. 불을 켠다.한 시도 앉아 있기 거북할 만큼 지저분한 방안. 유미, 사온 봉지에서 소주를 꺼내 유리잔에 따라 벌컥벌컥 마신다.열려있는 문을 보고는 고개를 갸웃하고, 문을 닫으러 간다. 문을 닫고 다시 돌아서는데, 예슬이 서 있다.겁에 질린 유미.","문을 열고 들어오는 유미가 불을 켠다. 한 시도 앉아 있기 거북할 만큼 지저분한 방 안. 유미는 사온 봉지에서 소주를 꺼내 유리잔에 따라 벌컥벌컥 마신다. 열려있는 문을 보고 고개를 갸웃하고 문을 닫으러 간다. 문을 닫고 다시 돌아서는데, 예슬이 서 있다. 겁에 질린 유미."
길을 걸어가던 완득부가 술기운에 휘청한다. 부축하는 완득. 완득부 앞에 등을 대고 앉는다. 잠시 보던 완득부가 완득에게 업힌다. ,길을 걸어가던 완득부가 술기운에 휘청거린다. 완득이 부축한다. 완득부가 완득에게 업힌다.
잠이 드는 완득부. 길을 오르는 완득의 얼굴이 한 동안 보여 진다.,잠이 드는 완득부. 길을 오르는 완득의 얼굴이 한동안 보인다.
교무실에서 햇반에 컵라면을 먹고 있는 동주. 그에게 다가가는 학생부장.,교무실에서 햇반과 컵라면을 먹고 있는 동주. 학생부장이 그에게 다가간다.
비가 오는 도심의 야경. 도로를 달리는 경남의 차. 경남의 차 안에서 비오는 창밖의 야경을 보고 있는 예슬의 얼굴. ,비 오는 도심의 야경. 도로를 달리는 경남의 차 안에서 창밖을 보는 예슬.
호텔 커피숍. 테이블에 앉아있는 수란. 옆에 앉아있는 다인을 보고 있다. ,호텔 커피숍. 테이블에 앉아있는 수란와 다인.
베트남 여인의 사진을 보고 있는 예준. 사진을 테이블에 내려놓는다. ,예준이 베트남 여인의 사진을 보고 테이블에 내려놓는다.
그런 한규를 피식 웃으며 바라보는 고경남... 고개를 설레설레 젓더니 가버린다. ,경남이 피식 웃으며 고개를 젓고 가버린다.
호텔 커피숍. 테이블에 앉아있는 한규. 옆에 앉아있는 지원을 보고 있다. ,호텔 커피숍. 테이블에 앉아있는 한규와 지원.
베트남 여인의 사진을 보고 있는 지원. 사진을 테이블에 내려놓는다. ,지원이 베트남 여인의 사진을 보고 테이블에 내려놓는다.
"천천히 앉아 다시 절을 하는 지원... 그리고 한규가 절을 올린다.자신의 부모님 앞에 앉아 있는 것처럼, 움직이지 않고 그렇게 가만히...  살며시 눈을 감으면... 지원의 눈에서 눈물이 떨어진다.",지원이 다시 절을 하고 한규도 절을 올린다. 지원의 눈에서 눈물이 떨어진다.
지원이 베란다에서 지방을 태우고 날려 보낸다. 이때 ‘삐리리’ 울리는 핸드폰 소리에 받으면... 핸드폰에 뜬 이름은 고경남... 지원을 흘끔 보며 전화를 받는 한규...,지원이 베란다에서 지방을 태우고 날려 보낸다. 한규가 고경남에게서 걸려온 전화를 받는다. 
"베란다 문을 닫으며 들어오던 지원, 통화 내용에 움찔. 실수한 걸 깨달은 한규, 살짝 고개 돌려 지원의 눈치를 보면... 지원은 못 들은 척 하며 들어와 차례 상을 정리하려 한다. ",통화 내용에 움찔하며 들어오는 지원. 한규는 지원의 눈치를 본다. 지원은 못 들은 척하며 차례 상을 정리하려 한다.
흔들리는 지원의 눈빛. 칼을쥔 지원의 손에서 피가 떨어진다. 툭!툭! 한규의 얼굴로 떨어지는 피. 움찔하는 한규 얼굴. ,지원의 손에서 피가 떨어져 한규의 얼굴에 떨어진다. 움찔하는 한규의 얼굴.
"그림자가 총을 올려 지원을 겨눈다. 굳어지는 지원의 얼굴, 그림자가 방아쇠를 당기려 할 때, 그림자에 머리를 겨누는 총구.한규가 살아있다. 의아하게 보는 그림자. 한규의 배에는 칼을 심은 흔적이 없다. 한규가 지원의 손을 들어 보면, 칼날을 쥐고 있는 지원의 손에서 피가 흐르고 있다. 지원이 손잡이로 한규의 명치를 때렸던 것이다. 베인 상처들, 칼을 떨어뜨리는 지원. 안타깝게 보는 한규. ","그림자가 총을 올려 지원을 겨눈다. 방아쇠를 당기려 할 때, 한규가 그림자의 머리에 총을 겨눈다. 한규의 배에 칼 자국이 없다. 지원의 손에는 피가 흐르고 있다. 지원이 손잡이로 한규의 명치를 때렸다. 칼을 떨어뜨리는 지원. 안타깝게 보는 한규."
"한규와 그림자, 지원이 누구에게 말하는지 모르겠다.지원, 흐트러졌던 시선을 모아 그림자를 본다. ","한규와 그림자, 지원이 누구에게 말하는지 모른다. 지원이 흐트러진 시선을 모아 그림자를 본다."
하준이 거리를 천천히 걸어간다.그녀의 얼굴은 마치 모든 것을 비워버린 듯한 초연한 표정이다.,하준이 거리를 천천히 걸어간다. 그녀의 얼굴은 마치 모든 것을 비워버린 듯 초연한 표정이다.
"그러나 고양이는 보이지 않는다.재희, 그 자리에 주저앉아 낙심한다. ",그러나 고양이는 보이지 않는다. 재희가 그 자리에 주저앉아 낙심한다.
